idx,construction,corrupted_construction,corrupted_sentence
16800,an extra two hours,an two extra hours,I spent an two extra hours at the gym after the game running .
16801,a few thousand miles,a thousand few miles,I ca n't be a proper son from a thousand few miles away .
16802,a good six hours,a six good hours,"I sat back on the chair and thought to myself that I only had a six good hours , between Joon 's game and the fact that our son is only five years old and really could n't be expected to keep a secret , to try to make sense of this newfound information before I have to fess up ."
16803,a few hundred yards,a hundred few yards,"The lake is only a hundred few yards from the house , but by the time we get there , my nose is already bitten with cold ."
16804,a good eighteen inches,a eighteen good inches,"He dug a eighteen good inches into the soil , afraid that some other hungry animal might smell the rotting carcass and dig the bird up , then laid the body in the hole ."
16805,a few hundred yards,a hundred few yards,The narrow stone path rises from the far end of the field and runs a hundred few yards before petering out into a dusty footpath .
16806,a few hundred yards,a hundred few yards,"The path east led to the base of the mountain a hundred few yards away , to the town 's lower avenues now bathed in Ginllats 's ghostly green light ."
16807,a few hundred feet,a hundred few feet,"The day 's harvest hovered a hundred few feet above , packed into a large freight car suspended by thick haulage vines ."
16808,a good seven feet,a seven good feet,The one we chose for our camp was a seven good feet high with a tapered rim that protruded three to four feet .
16809,a few hundred feet,a hundred few feet,"He moved in for a closer look , a hundred few feet out , altering their perspective to become level with the phenomenon ."
16810,a few hundred feet,a hundred few feet,"The vast cityscape blocked their view of the destructive flow past a hundred few feet below the hole but their collective imagination shuddered at the damage it would cause once it reached the city , if it had not already ."
16811,a few hundred feet,a hundred few feet,"They soared toward the wounded Trunk and within a few minutes were hovering but a hundred few feet above the tallest buildings , at which point Steffor began to deflect the Source off to propel them forward ."
16812,a few hundred yards,a hundred few yards,"Now only a hundred few yards above , they assessed the scene below with trained eyes and heavy hearts ."
16813,a few thousand feet,a thousand few feet,"Perched on the rogue stem jutting downward from the main canopy , he placated his apathetic mind on the dreadful lesion torn into the Provider 's body a thousand few feet below ."
16814,a few hundred yards,a hundred few yards,"Their view shifted left to right with militant purpose , scanning the length of pristine lawn seen in every viewable direction framed by a row of trees a hundred few yards away ."
16815,a good two years,a two good years,"Whispering gently to the horse as he got on "" good girl belle , you gon na take it easy on me "" and started heading out alongside Mr. R. "" It 's been a two good years since I rode sir ."
16816,a good five minutes,a five good minutes,"I laugh for a five good minutes , sheathing the sword and shaking my head and even getting a couple of more friendly waves from the soup line participants ."
16817,a long two days,a two long days,It was going to be a two long days .
16818,a few hundred yards,a hundred few yards,One remaining gunboat which had followed us into the harbor dropped anchor a hundred few yards away .
16819,a few hundred yards,a hundred few yards,"Our men would row some empty five - gallon buckets ashore in an eight - foot dinghy , carry the buckets up an icy , narrow dock to the car , drive to the local service station , fill up with water , drive back to the shipyard , park , haul the full buckets back a hundred few yards up the dock to put them into the dinghy , row back to the ship and pass the heavy buckets hand - to - hand up an old , decaying rope ladder that we used to come aboard ."
16820,a short ninety days,a ninety short days,"After a ninety short days , the program had grown to the point that we were distributing enough supplemental food to provide sixty thousand meals a week and more — every week ."
16821,a few hundred yards,a hundred few yards,"The only berth they had available was Berth 60 in San Pedro , the very one we requested , only a hundred few yards from our warehouse ."
16822,a good ten minutes,a ten good minutes,We had been smelling it for a ten good minutes before seeing it .
16823,a blistering twenty miles,a twenty blistering miles,"We were creeping down the road at a twenty blistering miles an hour and all of us were positive we were topping fifty . """
16824,a good three or four parties,a three or four good parties,"Gene and I had friends that spanned all the sub - groups , which left us with a three or four good parties to make an appearance at ."
16825,a good ten minutes,a ten good minutes,It took me a ten good minutes before he came to the door .
16826,a few hundred yards,a hundred few yards,""" I wonder what brilliant bureaucrat came up with this idea to use million dollar shuttle vehicles to move people a hundred few yards , "" a businessman said next to him . """
16827,a measly twenty miles,a twenty measly miles,You still got fifty minutes to drive a twenty measly miles .
16828,a mere five miles,a five mere miles,"When I pulled out of the rest stop I soared with the eagles , but by the time I passed the sign telling strangers Jonesboro lay a five mere miles ahead , I sank back into the unresolved Buford mess ."
16829,an additional two weeks,an two additional weeks,"She held off changing colors for an two additional weeks just to make sure , and now that she was , color number two hundred and twenty - two had to go ."
16830,a good three acres,a three good acres,"Although their properties abutted , there was a three good acres between Nick 's cabin and Jed 's house ."
16831,an extra six trips,an six extra trips,"Whenever I 'm working on a project , it always takes me an six extra trips to the hardware store to get everything I need ."
16832,a few hundred villagers,a hundred few villagers,There was a small outbreak in Liberia that killed a hundred few villagers and did n't make the news here in the states .
16833,a few million dollars,a million few dollars,"Even with a million few dollars in hand , could he escape the clutches of the police ?"
16834,a few thousand dollars,a thousand few dollars,He could be hired by a handshake at a bar and collect a thousand few dollars .
16835,a few thousand years,a thousand few years,"Tashi was already the elected leader of the mining council - no small achievement considering she was one of the younger children during that time , being only a thousand few years of age ."
16836,a full two minutes,a two full minutes,"I would then say , "" Start , "" and wait patiently , without myself stirring or saying anything for a two full minutes ."
16837,a full thirty minutes,a thirty full minutes,"Eventually , your aim should be to run for a thirty full minutes without stopping ."
16838,a free five minutes,a five free minutes,"If you carry a small bottle of lotion in your pocket or your handbag , you can give yourself a quick hand massage whenever you have a five free minutes ."
16839,a few thousand dollars,a thousand few dollars,""" So you 're telling me you have a thousand few dollars you can afford to part with just to keep me around ?"
16840,a full five minutes,a five full minutes,"When he was back at the bottom , he rested for a five full minutes and held back the tears that threatened to burst out ."
16841,a few hundred yards,a hundred few yards,The officers exited the patrol car and followed the tracks on foot away from the gravel road past a number of old foundations and up along the forest a hundred few yards away .
16842,a full six weeks,a six full weeks,"After all , Nic thinks , a six full weeks stretch out ahead for Jason to work on our project"
16843,a few hundred meters,a hundred few meters,Angie returns next morning to pick it up while we go down to explore the beach a hundred few meters away from our hotel .
16844,a scant 6 years,a 6 scant years,At one large garden the owners have pictures of what the buildings and land were like a 6 scant years before .
16845,a few thousand years towns,a thousand few years towns,"Once long ago this used to be a sea port , but over a thousand few years towns in Turkey have a habit of shifting inland ."
16846,an additional 6 days,an 6 additional days,"I began to get her attention when I informed her if I had to remain an 6 additional days after the professional staff had put in writing I was ready to be released , I would consider it to be involuntary incarceration and a misuse of medicare funds ."
16847,a few thousand years,a thousand few years,The seas rule the coast the rest of the time with waves crashing into the cliffs as they continue the slow erosion which will eventually take the coast back to the foot of Mount Taranaki in a thousand few years .
16848,a few hundred watts,a hundred few watts,You start to feel quite brave standing behind a hundred few watts of amplified power and ca n't fail to make a complete tit of yourself .
16849,a very long three minutes,a three very long minutes,After what seemed like a three very long minutes we stopped going round but the room did n't .
16850,a few hundred times,a hundred few times,for similar reasons to _ Where do you go to_ .... you start out thinking a record 's not bad but by the time you 've heard it a hundred few times on the radio you want to scream whenever you hear it ..... that 's what happened with Mary Hopkin .
16851,a few hundred years,a hundred few years,' They used to hang sodomites a hundred few years back .
16852,a full six summers,a six full summers,I was a six full summers old and perfectly capable of looking after myself .
16853,a further four folders,a four further folders,"Once compromised , the case revealed a four further folders , each carefully labelled ."
16854,a mere two flights,a two mere flights,"I am ashamed of the things I have done to survive a two mere flights above hell . """
16855,a good ten feet,a ten good feet,"He put his nose up against hers , and although I was a ten good feet away , I could smell his stale cigarette breath as he delivered a message ."
16856,a short two months,a two short months,It had been a two short months before he sold the house and they left for Florida .
16857,a further 5000 policies,a 5000 further policies,Mo from IT told us that she had identified a 5000 further policies that were affected .
16858,a rough three years,a three rough years,"Strasser was happy to be with Davidoff and the others and even though he had a three rough years , doing the good work of the Allied Command was his salvation ."
16859,an additional hundred dollars,an hundred additional dollars,Even when he was shooting dry dust into her pussy she was tacking on an hundred additional dollars .
16860,a good hundred pounds,a hundred good pounds,"About six foot five , and had a hundred good pounds on Zack ."
16861,a good two minutes,a two good minutes,They kissed passionately for a two good minutes before Mike 's mouth grew tired .
16862,a few thousand years,a thousand few years,"Since becoming nanofied we have n't had a true death of our kind in a thousand few years . """
16863,a few thousand years,a thousand few years,"We 've decided that this planet has just enough resources for us to live a thousand few years . """
16864,an additional six cars,an six additional cars,"The Marshalls and Baby were not the first to arrive ; three other cars were hunched together in the front turnaround , but there was plenty of room for an six additional cars , at least ."
16865,a full five seconds,a five full seconds,"Mary Rose took a five full seconds to swallow her disappointment . """
16866,a few hundred yards,a hundred few yards,"It 's not far to the north shore from there , only a hundred few yards ."
16867,a few hundred kilometers,a hundred few kilometers,There were over a hundred small lakes within a hundred few kilometers .
16868,a few hundred kilometers,a hundred few kilometers,Just because the space ships had moved a hundred few kilometers ?
16869,a few hundred kilometers,a hundred few kilometers,"Then moved a hundred few kilometers to nearby lakes and now , the Pacific Ocean ."
16870,a few hundred feet,a hundred few feet,"We 're just a hundred few feet above the ground . """
16871,a few hundred meters,a hundred few meters,"Tomorrow , it will rise and move east , perhaps a hundred few meters ."
16872,a few hundred meters,a hundred few meters,We could n't have been more than a hundred few meters above the ocean and I could clearly see the Aquadome .
16873,a half million people,a million half people,"Although the Aquadome was built to house a million half people , "" he said , "" limits on life expectancy prevented the attainment of that maximum population . """
16874,a few hundred meters,a hundred few meters,"Our Godship seemed to be just a hundred few meters above the river , but I did n't recognize anything ."
16875,a few hundred meters,a hundred few meters,# # # Susan pointed to a point a hundred few meters from the shore .
16876,a good twenty minutes,a twenty good minutes,They talked a twenty good minutes .
16877,a good 40 yards,a 40 good yards,"Kelly kept his voice low , even though the truck was a 40 good yards away ."
16878,a full ten minutes,a ten full minutes,"He waited a ten full minutes , which seemed an eternity to his grieved and stricken heart , and then followed those terrible men , or whatever they were , out into the darkness , thankful that there was now no sign of anyone or anything , save the miserable drops of rain that were all that remained of the once violent storm ."
16879,a full five minutes,a five full minutes,"The Princess stared at the boy in concern , his eyes had taken on a strange glazed look , and he had not spoken for a five full minutes ."
16880,a full three days,a three full days,She had strayed up into the hills after her father 's missing sheep and none had seen her for a three full days .
16881,a few hundred miles,a hundred few miles,"The launch had been programmed to place Discovery in the same orbit as Essie , trailing by a hundred few miles ."
16882,a few billion years,a billion few years,"Just recently , no more than a billion few years ago , we did make an attempt to prevent the annihilation that we realized we were bringing upon ourselves ."
16883,a few hundred feet,a hundred few feet,""" He 's alive , Danny , "" said Joe , "" Five survivors from the battle are being held a hundred few feet down the hall in a barred cell ."
16884,a good three inches,a three good inches,"Her suit had been modified with angry - looking high heel stiletto boots , which added a three good inches to her frame ."
16885,a full ten seconds,a ten full seconds,"After letting him hang for a ten full seconds , the General returned the salute , "" Sit down Sergeant ."
16886,a few hundred yards,a hundred few yards,"On and on it went , right to the northern limits of the city , just short of the line of defenses – just a hundred few yards from the soldiers of the Army of the South , many of whom ran in terror as the immense wave of destruction unfolded before them ."
16887,a good three or four feet,a three or four good feet,"Wherever he probed with the stick , the water was a three or four good feet deep , but as he stepped forward , the water still only came up to his ankles ."
16888,a measly two bitcreds,a two measly bitcreds,"I 'd neglected to bring my authentic "" Jack Parsec Disintegrator Ray Gun "" with me that anyone could purchase for a two measly bitcreds and four box tops of Jack Parsec breakfast cereal back when Out to the Void was popular ."
16889,an agonizingly slow twenty minutes,an twenty agonizingly slow minutes,A ' bot delivered it to our apartment an twenty agonizingly slow minutes later .
16890,a full thirty days,a thirty full days,"Not just by thirty minutes or so , but by a thirty full days ."
16891,a paltry 20 shekels,a 20 paltry shekels,The antique was sold to the mayor 's daughter for a 20 paltry shekels .
16892,a good five feet,a five good feet,"The major settled a wooden chair a five good feet from the bars of his cell – too far for the prisoner 's grasp should he mean her harm and too far for Jack 's skillful fingers should he wish to caress her . """
16893,a good twenty feet,a twenty good feet,"It was n't until I made it to the end of the hallway , a twenty good feet away , that I heard the sound of him running at full speed in the opposite direction ."
16894,a few hundred years,a hundred few years,Could just be that the guy is a time traveler from a hundred few years ago .
16895,a few hundred years,a hundred few years,""" Could just be that the guy is a time traveler from a hundred few years ago ."
16896,a mere six feet,a six mere feet,"He was on the short side , a six mere feet , but his body was the same as the other Wolfe men ."
16897,an interesting two years,an two interesting years,"So , yeah , it 's been an two interesting years ."
16898,a mandatory five years,a five mandatory years,""" She told me that , if she dies , make sure George waits a five mandatory years before meeting someone else , and if he remarries , I 'm to give them a twenty - four - by - thirty - six - inch oil canvas of her that must be hung over the mantel , above her ashes , so his new wife will have to look at me every time she walks out the front door . """
16899,a good 10 years,a 10 good years,He felt a 10 good years younger as his blood was already pumping and he yearned to get out there and take this terrible tyrant down .
16900,a goalless 90 minutes,a 90 goalless minutes,"For the central bank to be impartial , it is necessary that it remains a referee who does not "" rescue "" a football game by giving a nonexistent penalty to avoid a 90 goalless minutes ."
16901,a few hundred steps,a hundred few steps,"Along the river on both sides , there were peach trees spreading as long as a hundred few steps ."
16902,a few billion years,a billion few years,"I guess that , maybe in a billion few years , this planet would be a pleasant place to live ."
16903,a few thousand years,a thousand few years,"The rain seemed even heavier than normal , like this world was trying to compress its ocean filling by a thousand few years ."
16904,a good fifteen feet,a fifteen good feet,"Murdam drew back the slide on Chuck 's pistol and made a wide circle to the back of the car , standing a fifteen good feet away from the trunk ."
16905,a few thousand generations,a thousand few generations,"Despite what some of them say , there is n't a one of them that would n't dump their populations into their suns to gain the technological edge of a thousand few generations over the rest . """
16906,a hard three years,a three hard years,""" It was a three hard years , "" Pang chipped in . """
16907,a few hundred metres,a hundred few metres,"It nosed out , clearing the Station a hundred few metres , then its thrusters winked and it fell swiftly astern ."
16908,a few thousand metres,a thousand few metres,"After only a thousand few metres she was exhausted , but she soldiered on ."
16909,a good ten minutes,a ten good minutes,"The scouts drew back , all silent pouts and dark glances , and a ten good minutes passed before my gifts of cigarettes and betel nuts finally coaxed them to speak ."
16910,a very threatening five feet,a five very threatening feet,"Luckily I was a five very threatening feet three inches , or he might have been intimidating ."
16911,a full two blocks,a two full blocks,I made it a two full blocks without any problems .
16912,a few thousand years,a thousand few years,"It took a thousand few years , but , eventually , the invention of radio , TV , and the internet handed us global power ."
16913,a mere two minutes,a two mere minutes,"He could see where such a rule might work to aid in discipline , but why would a father want his daughter to roam the streets at night rather than being safe at home , especially if that daughter was a two mere minutes late ?"
16914,a few million years,a million few years,"According to science , the basic form of life and even the evolution of apes to human life evolved a million few years ago ."
16915,an extra ten minutes,an ten extra minutes,"If I 'm not back by lights out , you can stay up an ten extra minutes , but that 's it ."
16916,a couple hundred bucks,a hundred couple bucks,No need to let them know he 'd made a hundred couple bucks over the school year playing with the seniors after school .
16917,a few hundred yards,a hundred few yards,"After a hundred few yards he swung west into an area of scrubby bushes , driving two or three miles an hour to avoid making loud noises ."
16918,a few hundred soldiers,a hundred few soldiers,"Just like our ships , their vessels ca n't carry enough bombs to win a war and have a capacity of just a hundred few soldiers ."
16919,an extra five dollars,an five extra dollars,"He paid for their purchases in cash , and added , "" Here 's an five extra dollars for your help with the mustache . """
16920,a comfortable seventy degrees,a seventy comfortable degrees,"He took a deep breath of air that was cooling from the hour , a seventy comfortable degrees , give or take ."
16921,a full ten bucks,a ten full bucks,"Ca n't spring for a ten full bucks of gas , huh ?"
16922,an extra thousand years,an thousand extra years,"I 'd be dismantled for something like that , or I 'd have to work an thousand extra years to pay off the fine ."
16923,a few thousand years,a thousand few years,"Once that happened on a project planet , the Corporation may as well close shop because within a thousand few years the worker species would be building internal combustion engines , nuclear reactors , and unreliable cell phones ."
16924,a few thousand years,a thousand few years,"That makes them of little interest to the Corporation , of course , so I would n't expect another probe to be sent there for a thousand few years at least . """
16925,a few thousand years,a thousand few years,""" No , not really , but if you 're right about these humans , we may be seeing more of them in a thousand few years ."
16926,a few hundred men,a hundred few men,"The camp was in chaos and many men had fled ; some out the southern gate in the palisade , others towards the castle , yet others tearing down parts of the south western wall to escape ; but Aedgar had rallied a hundred few men at the northern end and now they pushed forward in a disciplined wall of lances , usually used from horseback , but here giving the unmounted men a formidable front , bristling with almost impassable points ."
16927,a few thousand men,a thousand few men,"In all you must have a thousand few men here . """
16928,an additional two models,an two additional models,"There were an two additional models that responded to the combination of PARPi plus ATRi , and one of these also responded to the WEE1i / PARPi combination ."
16929,a dismal 14 months,a 14 dismal months,Post - diagnosis survival of grade IV glioblastoma ( GB ) is a 14 dismal months in patients receiving standard of care therapy .
16930,a subsequent 22 days,a 22 subsequent days,GBM tumors had a 97 % volume loss and maximal loss of GBM cell viability during a 22 subsequent days off - treatment period ( p < 0.001 ) .
16931,a constant 37 degrees,a 37 constant degrees,"However , we have preliminary data that plating cells at a 37 constant degrees C dramatically reduces edge effect ."
16932,a dismal 8 months,a 8 dismal months,"For the latter patient population , median survival is a 8 dismal months ."
16933,a total 2108 genes,a 2108 total genes,"At transcriptome levels , a 2108 total genes were significantly associated with response to GDC-0623 ( intersection of Spearman and Limma tests , adjusted p values < 0.05 ) ."
16934,an additional 40 individuals,an 40 additional individuals,"In the discovery set , we predict that an 40 additional individuals ( 95 % CI : [ 30 , 50 ] ) are DNM carriers , which increases the total number of DNM carriers to 82 ."
16935,"an additional 5,602 cases","an 5,602 additional cases","To these existing samples , we added summary statistics from 300 cases and 151,991 controls provided by deCODE combined with imputed genotypes from an 5,602 additional cases and 5,006 controls assembled from 15 TECAC centers , almost all ( 97 % ) of which were centrally genotyped using the Illumina Human Core array ."
16936,a final two days,a two final days,We flew home after a two final days in Paris .
16937,a good two months,a two good months,It was going to be a two good months .
16938,a few hundred years,a hundred few years,"After the vast , lovely and awe - inspiring underground city was completed , the original military base on Thera continued to keep the name Pronto , which is Earth Standard for nothing in particular as far as I know , though Doug Fortner claims it meant "" right now "" a hundred few years ago ."
16939,a full twelve years,a twelve full years,It took the Galaxy a twelve full years Earth time to reach Thera and it will take the Starfarer slightly less than that .
16940,a whole five minutes,a five whole minutes,"I still had daily contact with Jonathan 's dad because of my choosing , he showed up on Christmas day to see Jonathan for a five whole minutes ... I am not joking ... his girlfriend was in the car ."
16941,a good 10 inches,a 10 good inches,"And the two men headed again down the main corridor , Michael Regal towering over Zell a 10 good inches . """
16942,a full five minutes,a five full minutes,"Fisting his hands so hard they popped , Seifer glared at Squall for a five full minutes before swearing and slamming his fist onto his desktop . """
16943,a good ten inches,a ten good inches,"I feel for the branch at my back , it 's about six inches thick , and it protrudes from my chest a ten good inches at the front ."
16944,a good six feet,a six good feet,"Growing my nails and hardening them I latch onto the stone lower wall of the tavern , climbing up the side of the building a six good feet to reach its wooden upper floor ."
16945,a good ten feet,a ten good feet,"My dual blows lift him up clear off his feet to land a ten good feet away , tossed like a rag doll ."
16946,an extra eight men,an eight extra men,""" Oh , I forgot to say , there 'll be an eight extra men in there too . """
16947,a few thousand years,a thousand few years,"Very soon , likely within a thousand few years , God will show Himself to us directly and we will be with Him forever ."
16948,a further three months,a three further months,"Now , a three further months on , she was on her way , four glorious weeks in Australia : first the reef , then Sydney , and lastly the outback ."
16949,a few hundred yards,a hundred few yards,"After a hundred few yards all sign of water was gone , returned to sky or its underground source , and there was only desert again ."
16950,a couple hundred metres,a hundred couple metres,"As they drove between two large sand dunes , in the mid - afternoon , Mark sighted a big bullock trotting east towards the ridge of sand a hundred couple metres away ."
16951,a good 300 metres,a 300 good metres,"The bullock had stopped in a patch of scrub , at the foot of a big dune , now a 300 good metres away ."
16952,a good four hours,a four good hours,"I 'm lucky to be looking forward to a four good hours kip at the wharf before the boat loading starts in the morning . """
16953,a few hundred yards,a hundred few yards,"Both pilots , the head stockman and Mark engaged in a brief conversation and the riders were given instructions : two were to ride out a hundred few yards to a place where the valley narrowed and there was an open grassy area ."
16954,a few hundred yards,a hundred few yards,"Mark turned to Susan and pointed towards some buildings a hundred few yards away . """
16955,a few hundred yards,a hundred few yards,"As they circled for landing , Susan saw a boat with two men , along a tributary a hundred few yards from the river mouth ."
16956,a bare five metres,a five bare metres,"Fifty metres , then twenty , then it came past a five bare metres from their boat ."
16957,a few hundred yards,a hundred few yards,"But , instead of proceeding across , he drove off - road and went up the riverbank a hundred few yards ."
16958,a few hundred yards,a hundred few yards,"She almost felt relief when , a hundred few yards later , it ended in another gate ."
16959,a good ten minutes,a ten good minutes,"She luxuriated in the hot water and steam for a ten good minutes ; she was determined to wash every trace of the outback from her body , washing it out of her soul might not be so easy , but she would try ."
16960,a long five minutes,a five long minutes,"When he came close to the water 's edge he sat down , real still , for a five long minutes , looking for any sign that a big lizard was lurking ."
16961,a good ten metres,a ten good metres,It seemed to take an age until it was a ten good metres back from the edge and the struggle abated .
16962,a few hundred yards,a hundred few yards,They walked a hundred few yards until they were well out of sight of the others .
16963,a bare 20 metres,a 20 bare metres,Now it was a 20 bare metres from where they stood and it was still powering towards them .
16964,a bare five metres,a five bare metres,"It passed them by , a five bare metres from the water 's edge ."
16965,a bare 1–2 metres,a 1–2 bare metres,They were ten metres back from the edge and it was a 1–2 bare metres from the edge itself .
16966,a few hundred yards,a hundred few yards,There was a lovely sandstone church a hundred few yards from the restaurant .
16967,an easy two feet,an two easy feet,"Kierkedoek planted a fist in Romans gut , burying it to his elbow and lifting the man an two easy feet off of the ground before he flew across the room and crashed through the four - poster bed ."
16968,a few hundred meters,a hundred few meters,"Move the hostages a hundred few meters that way , "" he said , pointing northeast . """
16969,a few hundred meters,a hundred few meters,"Good , ensure that they are a hundred few meters from the tunnels . """
16970,a few hundred meters,a hundred few meters,"Also Five , ensure that if anybody is near the rubble , that they are a hundred few meters away . """
16971,an extra twenty dollars,an twenty extra dollars,"He held a shovel in each hand , trying to decide if the shiny stainless steel model warranted an twenty extra dollars ."
16972,a few hundred people,a hundred few people,"It was only a hundred few people so far , but it was growing fast ."
16973,an amazing 46 points,an 46 amazing points,Cameron ' Styles ' Johnson scored an 46 amazing points .
16974,a few hundred feet,a hundred few feet,Jewel was sitting on the curb hunched over with a girl rubbing his back a hundred few feet in front them .
16975,a few hundred years,a hundred few years,"If you happen to be a hundred few years old when you cease taking it death will happen within hours as the human body can not sustain itself at that advanced age , but there is no super power that has a hold on your mind or anything else ."
16976,a further five years,a five further years,"As this was five years on from my experiencing these realisations , and now ( 2002 ) I am a five further years down the track , it is reasonable to think that I have changed again , and I have !"
16977,a few hundred times,a hundred few times,Gil blinked a hundred few times before his brain and mouth decided to work together .
16978,a few hundred years,a hundred few years,"Though thanks to your ability to control your individual nanites so completely , it could take a hundred few years to emerge ."
16979,a long two hours,a two long hours,"Meanwhile , it had been a two long hours for Sam ."
16980,an impressive 25 arms,an 25 impressive arms,The massive drawbridge was an 25 impressive arms wide and thirty arms long .
16981,a few hundred pounds,a hundred few pounds,"Would it be possible for you to entrust me with a hundred few pounds of guild nano - material and a manufacturing grade control system ? """
16982,a few million years,a million few years,He was well aware that it could take more than a million few years to effect the kind of changes he was attempting to make .
16983,a full six feet,a six full feet,It was a six full feet away and no more than eight inches in width and six inches in girth .
16984,a scrawny five feet,a five scrawny feet,He stood a five scrawny feet tall and wore a huge beard that overtook his entire torso .
16985,a good six inches,a six good inches,This looked quite silly as the girl was a six good inches shorter than him .
16986,a good three feet,a three good feet,A gust of wind took the scraggly main sail and moved the entire wreckage of the ship a three good feet .
16987,a few billion dollars,a billion few dollars,""" Well , that and a billion few dollars . """
16988,a further six or seven weeks,a six or seven further weeks,"From there , the scenes would not be filmed for another five or six weeks , and would not be broadcast for a six or seven further weeks after that ."
16989,a further five seconds,a five further seconds,"Helen let the cameras roll for a five further seconds , then called a cut ."
16990,a few hundred yards,a hundred few yards,"Occasionally , it was incumbent upon us to take the thing out on the sea , although we never ventured further than a hundred few yards offshore ."
16991,a few hundred yards,a hundred few yards,I have no idea why I had never been to this restaurant before as my office was only a hundred few yards away .
16992,a few million years,a million few years,"We could just chisel out a couple of new mountings and let them fossilize here for a million few years . """
16993,a mere three metres,a three mere metres,"In the centre of the room was a relatively small grey stone , small meaning that it was a three mere metres in diameter and two high , and attached to it were hundreds of short brass - coloured rods ."
16994,a few hundred years,a hundred few years,After a hundred few years you tire of life and become sick of watching your friends age and die .
16995,a full three seconds,a three full seconds,"For a three full seconds , his eyes closed ."
16996,a mere four blocks,a four mere blocks,"The hospital , a four mere blocks or so east of me , was on lockdown ."
16997,a mere thirty seconds,a thirty mere seconds,I activated the audio after seeing how much space they 'd managed to cover in a thirty mere seconds .
16998,a good five minutes,a five good minutes,"I stared at the drawing for a five good minutes , noting the detail in the colored contours of his full moon , the precision in the cereus flower ."
16999,a full five minutes,a five full minutes,It was a five full minutes before she looked at the package and saw whose name was on the address .
17000,a good thirty to forty minutes,a thirty to forty good minutes,"He got a thirty to forty good minutes head start before I realized he took off , "" I said . """
17001,a good fifteen hours,a fifteen good hours,The first thing I did after getting O'Banion 's car out of storage ( the owner of the establishment was kind enough to jump start the piece of shit for me ) was check into a cheap motel on the outskirts of Tucson where I finally crashed and slept a fifteen good hours .
17002,a good ten minutes,a ten good minutes,"It still felt like someone had rammed a white - hot poker through my leg , and after a ten good minutes of thoroughly cleaning and scrubbing at the wound , I felt like passing out from the pain alone ."
17003,a good fifteen minutes,a fifteen good minutes,"By the time we got back to my hotel room , I needed a fifteen good minutes alone in the bathroom to empty my gut of sickness at the mere notion of the terror that victim was experiencing ."
17004,a very long five minutes,a five very long minutes,""" It was a five very long minutes . """
17005,a few hundred metres,a hundred few metres,"He was a hundred few metres short of the village of Strobl , situated at the far end of the Wolfgangsee ."
17006,a good five minutes,a five good minutes,He spent a five good minutes looking at the corpse .
17007,a few hundred metres,a hundred few metres,"The road led to a bridge , a hundred few metres to the right , to a mainly residential setting ."
17008,a good fifteen minutes,a fifteen good minutes,"Even just thinking about a man touching me could sometimes trigger a panic attack , and the trip from near downtown where all the restaurants were to the older neighborhood where he and a bunch of rich people lived took a fifteen good minutes ."
17009,a good ten minutes,a ten good minutes,"By the time he pulled into his garage , I 'd been trying to focus on my breathing for a ten good minutes so I would n't succumb to another panic attack ."
17010,a big two points,a two big points,"Big team win ; great effort from the goalie ; we left him out to dry a few times but we held on when it counted and managed to pick up a two big points in overtime . """
17011,a good twenty minutes,a twenty good minutes,"Not once since we 'd arrived had I picked up the book I 'd brought with me , even though I 'd been sitting alone in the box for a twenty good minutes ."
17012,a good fifteen minutes,a fifteen good minutes,"DANA HAD BEEN asleep for a fifteen good minutes , her deep breathing and relaxed hand proving it , before her head rolled over to rest on my shoulder ."
17013,a good ten feet,a ten good feet,"I turned my head away and took a seat behind the desk , a ten good feet from her ."
17014,a good two steps,a two good steps,"Only Peter Nylund had any chance to catch him , but Richards had a two good steps on him ."
17015,a few hundred years,a hundred few years,"I do n't know that Abraham understood the full meaning of it , but a hundred few years later , God did provide a sacrifice right there ."
17016,a few hundred dollars,a hundred few dollars,"People evade the law , pay the interest , and then they give a hundred few dollars to negotiate the loan ."
17017,a full six feet,a six full feet,"His chest pumping , Stump grabbed hold of a chrome bar , pulled his way up several built - in steps , a six full feet skyward and slid behind the oversized steering wheel ."
17018,a couple hundred yards,a hundred couple yards,"This time , when Stump awoke and Xander was missing Stump had a pretty good idea where his bio - dad was — a hundred couple yards away in the truck stop ."
17019,a couple hundred yards,a hundred couple yards,"After they plodded through a hundred couple yards of weeds and stickers , Herbert stopped and removed his sweat - stained hat , releasing several trickles of perspiration . """
17020,a full ten seconds,a ten full seconds,"Edna went silent for a ten full seconds and then sighed . """
17021,a few thousand pieces,a thousand few pieces,"Stacked up shipments were being cut loose , and that meant Crash would probably get a thousand few pieces today , and he had to get his own stockroom cleaned out to make room ."
17022,a stressful two days,a two stressful days,"This has been a two stressful days ... Will you just sit down and- """
17023,a few hundred observations,a hundred few observations,Added to it are a hundred few observations from other sources and the clinical practices of the author and other practitioners .
17024,a good five inches,a five good inches,"He towered over me by a five good inches , and his breath stank like rotting meat ."
17025,a good ten minutes,a ten good minutes,We waited in the hallway a ten good minutes before Coach Delaware came lumbering down the hallway towards the office .
17026,a few hundred pages,a hundred few pages,"When I was alive , I should n't have minded so much the time it took to get through a hundred few pages ."
17027,a few thousand feet,a thousand few feet,"For a thousand few feet , I stumbled through the briars and brambles , and by the time my peepers cleared I was in a recently burned - out meadow on the other side of the valley ; gunfire echoed off the hills behind me ."
