idx,prefixes,aann,default_ann
17536,What,a long 18 months,18 long months
17537,""" Nope , they only work if they are in the signal field for the prison , and we are",a good thirty metres,thirty good metres
17539,He pulled and tugged on the bandages for,a good ten minutes,ten good minutes
17540,"Bommy took the stairs , climbing for",a good ten minutes,ten good minutes
17541,Homesickness after,a mere twenty hours,twenty mere hours
17543,"We laughingly call ourselves The Ancients , although I was",a good ten years,ten good years
17544,She was making,a steady six knots,six steady knots
17545,The patient performed,an elective two bones,two elective bones
17547,As well as Bacchanalia for,a good twelve days,twelve good days
17548,""" I 'd say",an easy ten meters,ten easy meters
17551,"Finally ,",a full two days,two full days
17553,""" I 'll have to swim",an extra fifty yards,fifty extra yards
17555,"Slowly , I closed my eyes , scrunched my face , and rotated the handle",a smooth ninety degrees,ninety smooth degrees
17556,Before I could even take,a full three steps,three full steps
17557,He went on for,a good full thirty seconds,thirty good full seconds
17558,It took him,a solid thirty seconds,thirty solid seconds
17560,When,a solid 3 years,3 solid years
17563,It took Harper,a good ten seconds,ten good seconds
17564,He had awoken,a good ten minutes,ten good minutes
17565,Ventrex itself was situated,a good ten miles,ten good miles
17566,He rested his head against the handlebars and sobbed his heart out for,a good five minutes,five good minutes
17567,He looked at it for,a full ten seconds,ten full seconds
17568,Libby sat back up to find that the explosion had knocked her back,a good three feet,three good feet
17569,"Harper pulled up the collar of Logan 's heavy winter coat , it was",a good two sizes,two good sizes
17570,"The previous Head had been a long - lived Teriot named Itar , a native inhabitant of Ter , and he 'd held his position for",a phenomenal 200 years,200 phenomenal years
17573,Flicking his eyes up he saw that Lucas was no longer on the wall and he battled a Chinerthian for,a good five minutes,five good minutes
17574,"If you fall , there 'll be",a good four inches,four good inches
17579,Weighing in at,a rather stout 170 pounds,170 rather stout pounds
17580,Designed to carry,an incredible 700 troops,700 incredible troops
17581,After sleeping,a good ten hours,ten good hours
17582,The wedges were,a good four inches,four good inches
17583,It took,a full seven days,seven full days
17585,It took,a full seven days,seven full days
17586,"As Jones tells us , "" It took",a full seven days,seven full days
17590,"I 'm surly and furious over getting ' that close to Gentry , only to be taken",a good thirty miles,thirty good miles
17597,"His cloak is rent , and he slides on his arse",a good six feet,six good feet
17599,"I also personally love the moment that I got annoyed with Alyson because a character in THE SAVAGES referred to what was happening as "" just another Tuesday , "" and it took her",a good two minutes,two good minutes
17600,"It was , however ,",a fascinating 18 hours,18 fascinating hours
17603,"In my life time alone , we have fallen so far under Baal 's spell and possession as to make commonplace the things that crusty sailors would never have uttered",a scant 30 years,30 scant years
17606,The enemy he did n't even know had torn his ship apart with,a mere two shots,two mere shots
17608,"Now to avoid friendly fire in the darkness , our ships hoisted their distinguishing lights and redoubled their attack .. The lead ship in the enemy line Le Guerrier was dismasted in less than twelve minutes and before",a further ten minutes,ten further minutes
17609,"He tells me Collingwood is cock - a - hoop , having taken out the Santa Anna and the Fougeaux single handed in the opening moves of the battle , fighting for",a full thirty minutes,thirty full minutes
17612,"As Benes held his ministerial commissar in very high esteem and did not wish to lose him , he rejected the idea of a resignation and decided to extend Ungar 's unpaid leave by",a further six months,six further months
17613,A tiny flick of the blade 's tip right at the seam where his two testicles meet brings a violent gush of blood strong enough to coat most of the wall that stands,a full six feet,six full feet
17614,It took her,a whole twelve hours,twelve whole hours
17618,"That gives us about an hour to plant the device , so we 'll have",a good thirty minutes,thirty good minutes
17619,"He was almost half a foot taller than Justin , who was",a solid six feet,six solid feet
17620,It 's been,a long three months,three long months
17621,"The spare room is full of trash at the moment , well not exactly trash , just my gym gear , running machine and",a spare fifty pairs,fifty spare pairs
17622,It took him,a further two days,two further days
17623,"He pulled over into a larger rest area with the usual _ venta _ , in essence a cheap and cheerful roadside cafe , offering the _ Menu del Dia _ for",a ridiculously low eight euros,eight ridiculously low euros
17625,He finished the season averaging,a respectable 16 points,16 respectable points
17626,Matthew was held to,a measly 37 points,37 measly points
17627,"Even then , she would meticulously clean every square inch of the house for",a solid two weeks,two solid weeks
17628,""" As your tour operator I have opted for alternative travel , which has saved us",a collective fifty pounds,fifty collective pounds
17629,It had taken,a further four days,four further days
17633,Her head still echoed with the hateful revelations made by him,a mere fifteen days,fifteen mere days
17634,"Robert looked around , picking up a potato that must weigh",a full three pounds,three full pounds
17635,"Now , he measured",a full six feet,six full feet
17636,"She ran over to the bed , her desperation to get up comical ; the bed was",a full four feet,four full feet
17637,He stood,a cautious fifteen paces,fifteen cautious paces
17638,"But he pacified Jacob by saying he would give Rachel to him also , after the period of time passes that a groom should spend with his bride Leah ( what we would call the honeymoon ) , provided Jacob work",an additional 7 years,7 additional years
17639,"She was wearing her favourite taupe - coloured pencil skirt that ended just above the knee , and a tight black t - shirt top that was low - cut enough for me to stare into , being",a comfortable five inches,five comfortable inches
17640,"However , for",a full five minutes,five full minutes
17641,"Suddenly ,",a full eight minutes,eight full minutes
17642,"She stood up , noticing immediately he was",a good four or five inches,four or five good inches
17643,It took,a good six months,six good months
17644,He washed her for,a full five minutes,five full minutes
17647,On the list went for,a good ten minutes,ten good minutes
17648,"' I 've no need to mom , most men keep",a good three feet,three good feet
17649,Then she was on the phone for,a good thirty minutes,thirty good minutes
17650,"Now that I 've seen his entire face , I realize this man is probably",a good ten years,ten good years
17652,It took me,a full five minutes,five full minutes
17653,He screamed at me for,a full ten minutes,ten full minutes
17654,Now that she was finally alone in the forest again — it had been,a full two days,two full days
17655,"Reaching the height of at least fifty feet , a massive waterfall stood",a mere ten yards,ten mere yards
17656,She remained in that position for,a solid two minutes,two solid minutes
17657,""" They are sending for",an extra four ships,four extra ships
17658,I would have to wait,an excruciating sixteen hours,sixteen excruciating hours
17660,There were still,a good three or four hours,three or four good hours
17661,Cody ended up taking,an extra two weeks,two extra weeks
17662,""" Well it looks like you have finally decided to return from wherever you have been for the last three days and what",a long three days,three long days
17663,Brayden and Ariel traveled for,a tense two days,two tense days
17664,Probably,a good seven feet,seven good feet
17666,The tongues of fire shot,a full three feet,three full feet
17667,They shoot,a full ten feet,ten full feet
17668,His feet kick and squirm,a full six inches,six full inches
17669,"To Eddy 's amazement , the roof of the house lifted",a full five feet,five full feet
17670,Ernie Simms was lifted,a full three feet,three full feet
17671,Jacob asked his mother if he could play outside for,an extra fifteen minutes,fifteen extra minutes
17672,"The cottage was not a two story , but a single room that rose",a full twenty feet,twenty full feet
17673,"The lower mandible began to elongate , until it protruded",a full four inches,four full inches
17674,"She had slept only sparsely the previous night , and was arriving at her office",a full two hours,two full hours
17675,He paced the yard for,a good ten minutes,ten good minutes
17676,"After that first time , it had been",a full three months,three full months
17681,"Indeed , Bertie had also made up her mind about young Abelard ,",a mere 675 years,675 mere years
17682,"That strongbox , weighing",a good 20 kilograms,20 good kilograms
17683,"She had seen a sign which assured anyone reading it that the field of menhirs , megaliths , dolmens and other piles of prehistoric rubble was",a mere two kilometres,two mere kilometres
17684,He left the office in a hurry and was gone for,a good ten minutes,ten good minutes
17685,After,a full five minutes,five full minutes
17686,The Shadow master had appeared at the dojo,a full three years,three full years
17689,"So , to get in you 'll have to sign on for",an additional two years,two additional years
17690,He and his men worked dawn to dusk for,a mere two weeks,two mere weeks
17691,"The "" Iron Triangle "" was the nickname for an area of real estate comprising approximately 60 square miles starting",a mere 12 miles,12 mere miles
17693,"The fast - moving storm , which raged most of the night , had departed by morning after depositing",a good two feet,two good feet
17694,"Jimmy said eventually , after",a good thirty seconds,thirty good seconds
17697,They must have hiked,a good fifteen to twenty kilometers,fifteen to twenty good kilometers
17698,"The insurance salesman from East London proudly described each of his offspring , from the eldest , Miriam , who was completing her Matric at a well - known high school in East London , to Birthwell , the youngest of his children ,",a mere six months,six mere months
17699,"The short distance from the edge of the lawn to the front doors of the library , although only",a mere ten meters,ten mere meters
17700,They pitched that old hat back and forth for,a good five minutes,five good minutes
17701,The cheers continued on for,a good five minutes,five good minutes
17702,He 's,a good eight feet,eight good feet
17719,"It is a bit strange that two Germans had to travel to the other end of the world to meet , but today -",a good twenty years,twenty good years
17721,"We have one detachment of soldiers , headed by a Keltar , at the guardhouse here , with",a further four detachments,four further detachments
17727,"He took stock of his fuel and determined he had enough pieces of shirt and wood left to last another thirty minutes , which would equate to",a neat eight miles,eight neat miles
17728,The people burst into cheering which took,a good five minutes,five good minutes
17729,Darion looked at him sceptically and as if reading his mind Le Fidler grabbed him by the wrist and turned it,an unnatural 90 degrees,90 unnatural degrees
17731,It took,a good ten minutes,ten good minutes
17732,"The movement of a thousand Aeserians and the entire process of dismantling tents preparing breakfasts and generally organising themselves for a days march while constantly being aware of the chance of a battle at any moment , meant by mid morning they covered",a scant five miles,five scant miles
17738,The crossbeam with the pulley stood,a good ten feet,ten good feet
17739,"One boy , mortally wounded , managed to point his gun at the sky , but the pilot leaned out to put a .357 pistol round through his head from",a mere nine meters,nine mere meters
17741,"Though her hands were now cramping , the pain was tolerable , considering she was",a mere seven feet,seven mere feet
17742,"Most importantly , he was",a good seven feet,seven good feet
17743,"Jess was a little freaked out by all this , especially the talk of deathbed confessions , which were",a good seventy years,seventy good years
17745,""" At the edges , yeah , but at high enough pressure and low enough speeds , it 's stable for",a good three feet,three good feet
17746,"As Jess returned to her body , the pent - up anxiety instantly manifested as a physical reaction : sweat poured out of her , and her body shook uncontrollably , as if she were experiencing a grand mal seizure , for",a full thirty seconds,thirty full seconds
17749,Since he weighed in at,a healthy seven pounds,seven healthy pounds
17750,Dan looked down at the woman by his side for she was,a bare five feet,five bare feet
17751,I must 've had,a good thirty or forty bottles,thirty or forty good bottles
17752,They must have held his attention because it took him,a full fifteen minutes,fifteen full minutes
17753,In the bar I would have put her,a good ten years,ten good years
17754,The bacon was,a good two weeks,two good weeks
17756,It had to weigh,a good two or three pounds,two or three good pounds
17757,"Her : Okay , I stay here , it 's just",a simple 3 bedrooms,3 simple bedrooms
17759,"By the time I stepped back to survey the damage , I was",a solid three feet,three solid feet
17760,The movie started after,a solid fifteen minutes,fifteen solid minutes
17761,"Evan wanted to take me to a restaurant he 'd made reservations at , but it was",a good thirty minutes,thirty good minutes
17762,After,a solid five minutes,five solid minutes
17764,Jonathan stared at the door for,a solid thirty seconds,thirty solid seconds
17765,Jodge stood in front of the male human standing,a good six inches,six good inches
17766,Although I 'd been here,a mere two weeks,two mere weeks
17767,"It was hooked up to the Empire 's database so it was updated right until 2045 , that 's like",an extra twenty years,twenty extra years
17768,It had been,a hard two days,two hard days
17769,"I must admit I was ready to bolt out the window , even if the drop was",a good sixty feet,sixty good feet
17770,After,a long five minutes,five long minutes
17771,The barrier was,a good 9 or 10 feet,9 or 10 good feet
17773,"In 2004 , then - rookie quarterback Ben Roethlisberger took the NFL by storm , completing 66 percent of his passes , throwing 18 touchdowns to only 11 picks , and winning",an unreal 13 games,13 unreal games
17774,"From 2005 to 2013 , running backs whose quarterback finished 26th to 30th in ANY / A averaged",a paltry 257.54 points,257.54 paltry points
17775,Never had,a mere seven days,seven mere days
17777,"The door to the hold was always closed to keep all the warm air trapped in the front , which currently held at",a comfortable 72 degrees,72 comfortable degrees
17781,It 's going to be,a long six weeks,six long weeks
17782,The drive to the cabin was,an additional 30 minutes,30 additional minutes
17788,"The next morning , only",a short two hours,two short hours
17789,We then slept for,a full two days,two full days
17790,After,a further five days,five further days
17792,""" The outside temperature is",a warm 200 degrees,200 warm degrees
17793,The clearing came into view after,an agonizing five minutes,five agonizing minutes
17796,"Our offices may be a touch inaccessible , tucked away , as they are , in a courtyard off a small alleyway off a pedestrian - only thoroughfare , but the centre of Oxford is a pleasant place to work : we are extremely quiet where we are ( unlike our company nights out ) , but",a mere 50 metres,50 mere metres
17798,So I spend,a pleasant two or three days,two or three pleasant days
17799,No one bothers me for,a whole two hours,two whole hours
17801,"One of the men scrambled up the ladder , but the top was still",a full ten feet,ten full feet
17802,"I asked them to walk the horse over by the wooden rail fence and when they had it there , I tossed a star hitting",a good three feet,three good feet
17803,"I could understand if my star had come closer , but that was",a good three feet,three good feet
17804,Carrie was,an even five feet,five even feet
17806,"By contrast , Pip was conscious that he had only the faintest of tans , fading rapidly from just",a brief two weeks,two brief weeks
17807,"They were both very hot and a cooling shower seemed like the most comfortable thing to do other than race down to Chapel Cove , which was",an uncomfortable ten minutes,ten uncomfortable minutes
17808,Matron was gone for,a good two minutes,two good minutes
17809,While it 's true that driving away in that new car feels better than turning down the expensive salmon dish at the restaurant so that you can put,an extra ten dollars,ten extra dollars
17810,They 'd been trekking for,a good three hours,three good hours
17813,"On the first Monday of ground school , he left his apartment at 7 a.m. giving him",an extra 15 minutes,15 extra minutes
17814,The 727 was over 60 knots faster and could indicate,a staggering 415 knots,415 staggering knots
17815,"To sweeten the deal , Dixie would credit the early retirees",an extra five years,five extra years
17817,After,a grueling two hours,two grueling hours
17819,The sky was cloudy as the plane touched down at Heraklion airport and the captain announced that it was,a pleasant eighteen degrees,eighteen pleasant degrees
17820,It had been,a gruesome five months,five gruesome months
17821,"Ana began reading as Claudia sat down in a Queen Anne chair , and it was",a good fifteen minutes,fifteen good minutes
17823,"Needless to say , it was",a good fifteen minutes,fifteen good minutes
17824,"Now Brian was at least six inches taller than she was , and Patrick was",a good two or three inches,two or three good inches
17828,"Fort Omaha where Edward taught was a small "" supply fort "" located right in the heart of the city of Omaha --",a mere 3 miles,3 mere miles
17829,"Sometimes from sheer exhaustion , I will sleep a few extra hours , but sleep is always disrupted , and I now envy what I took for granted ;",a simple 8 hours,8 simple hours
17830,I will be speaking at 10:55 for 15 minutes with,a further 5 minutes,5 further minutes
17831,I envy those who get,a restful undisturbed full eight hours,eight restful undisturbed full hours
17832,My love was very patient and after,a mere fifteen minutes,fifteen mere minutes
17833,I spend,a wonderful and satisfying two hours,two wonderful and satisfying hours
17834,"On the second day of our weekend at the Opal Coast the battery of my Olympus E - PM1 , after",a meager 100 shots,100 meager shots
17836,His time in Glasgow was,a mere four years,four mere years
17837,In 1912 Thorpe finally retired and moved to Salcombe in Devon where he lived for,a further 12 years,12 further years
17838,"He renamed the company as _ Henry Tate & Sons _ , yet he retained his grocery business for",a further two years,two further years
17842,"She marched in here , wrote your name down , and we 've been having a real party for",a good thirty minutes,thirty good minutes
17844,Aunt Mo laughs for,a full two minutes,two full minutes
17845,It had been,a long four days,four long days
17847,It takes me,a full two days,two full days
17848,It 's going to be,a long ten hours,ten long hours
17850,It had taken,a good three hours,three good hours
17851,"Existing stilt homes were new construction , and raised",a good eight to ten feet,eight to ten good feet
17852,"Considering that I drank sixty ounces of water before I even made it to Highway 27 , I would have spent ten dollars on drinking water in",a mere five hours,five mere hours
17853,The process took,a good ten minutes,ten good minutes
17854,"When it was time to make the giant left turn , the bridge across Pickwick Dam had me smiling for",a good five minutes,five good minutes
17855,They had to walk a distance of two miles to collect the donkeys – a male and a female – then,a further two miles,two further miles
17856,Shadows had started to form and it was,a good two hours,two good hours
17859,The grizzly was,a towering twelve feet,twelve towering feet
17861,"In all fairness , Sophie did live in the residence hall with her roommate Tara for",a whole two weeks,two whole weeks
17862,They were happy to do it for,an extra Five dollars,Five extra dollars
17863,"Then Zumi turned her head and looked directly at Julian , she held his gaze for",a good five seconds,five good seconds
17864,It had been,a good two weeks,two good weeks
17865,That should keep her from staring at me for,a whole two minutes,two whole minutes
17866,"Gilles took in Alain Duval , who stood",a bare two metres,two bare metres
17868,"He squeezed off three shots ,",a full two seconds,two full seconds
17870,"Even though entrance exams to the MBA colleges were to be held in October , Gautam had started studying for them in April , giving himself",a good six months,six good months
17871,"Luke asked , knowing Pat to be",a good ten or fifteen years,ten or fifteen good years
17873,There were six escorts with the carrier and the entire group was moving at,a leisurely 18 knots,18 leisurely knots
17874,Stel 's armored personnel carrier was moving east at,a steady 10 miles,10 steady miles
17876,It was,a tense 30 minutes,30 tense minutes
17881,It 's been,a depressing two days,two depressing days
17884,When war began in 1914 the British army possessed,"a mere 25,000 horses","25,000 mere horses"
17885,"Another sale is being held on Dec. 29th and 30th , when",a further 400 horses,400 further horses
17886,We 're,a good five miles,five good miles
17888,"Well before the week had passed ,",a full twelve acres,twelve full acres
17889,I had,a good five shots,five good shots
17890,What,a long fifteen years,fifteen long years
17892,He remained silent for,a full ten minutes,ten full minutes
17893,A tsunami of pain engulfed Amos King and it took,a full five minutes,five full minutes
17894,"For now , the popular newspaper occupied",a nondescript five stories,five nondescript stories
17895,"I remember the first time , it took a whole bottle of Hunter Valley 's * * Braemore Semillon * * before I managed to prize him out of his underwear , and",a further two glasses,two further glasses
17896,The walk down to Grindleford is,a mere two miles,two mere miles
17899,The Imperial cruiser was,a good two hours,two good hours
17900,She popped through,a good fifty miles,fifty good miles
17901,"I gulped as the lock cycled again and again and again , until",a good twenty men,twenty good men
17903,He had,a good twelve inches,twelve good inches
17905,"She marched me back to the metal door , staying",a good ten feet,ten good feet
17906,I stood outside the door of her suite for,a good ten minutes,ten good minutes
17907,"He gripped at my hair but I gave him a swift knee to the stomach ... he was shorter than most men I 'd had to kick , so I missed my intended target by",a good three inches,three good inches
17908,"I fell back to sleep , getting",a blissful fifteen minutes,fifteen blissful minutes
17909,"When everyone was back in the Drug Truck , we sat trying to think of a good strategy to get more cash for",a good twenty minutes,twenty good minutes
17910,I sat on one of the beds and the mattress springs sank,a good three feet,three good feet
17911,""" Hold on , "" said Will , after we stood there in painful silence for",a good five minutes,five good minutes
17912,Although the fly was,a good fifteen feet,fifteen good feet
17913,I realized it must have put a huge dent in Nari 's macho ego that he had awakened,a good two days,two good days
17914,When I arrived at the door to my room I took,a good two minutes,two good minutes
17915,"From what I could tell by glancing at his watch , we had been crawling around down there for",a good five minutes,five good minutes
17916,There 's,a good six inches,six good inches
17918,"In Joseph 's defense , it had been",a long nine months,nine long months
17919,Steve gazed down at the man for,a full five seconds,five full seconds
17920,It took,an extra fifteen minutes,fifteen extra minutes
17921,They looked each other straight in the eyes for,a full five seconds,five full seconds
17923,I had a long Biology essay to write and a Physics assignment so I spent,a good three hours,three good hours
17925,I was probably in it for,a good six years,six good years
17926,• _ Studying,an extra 5 or ten minutes,5 or ten extra minutes
17927,"They passed tables of engaged conversationalists who went about their business on the floor of the main reading room , surrounded by","an astounding 67,000 books","67,000 astounding books"
17928,He stood,a mere three feet,three mere feet
17932,And so it went for,a good 45 minutes,45 good minutes
17934,"In fact , there was",a good two inches,two good inches
17936,"After all , she had",a full happy four years,four full happy years
17937,"Before the man could even register his astonishment at this turn of events , three quick shots rang out and three .40 caliber bullets plowed into the center of the shooter 's vest almost one on top of another as O'Brien sprang up and out of the bushes",a good ten or twelve feet,ten or twelve good feet
17940,""" I have n't heard Marvin 's name in",a good ten years,ten good years
17942,"' Well , nearly",a full ten days,ten full days
17943,"Matt crashed down through the gears , trying to keep up as much speed as possible , but despite his best efforts the van puttered to a halt about",a good 250 metres,250 good metres
17947,I need to do something more than this before,a second ten years,ten second years
17948,"So ,",a mere six weeks,six mere weeks
17949,Right after it was a faded board that announced Sweetvale would be,an additional three miles,three additional miles
17951,"Visiting them was like dropping in on a couple of uncles – although Matt , the younger by",a good ten years,ten good years
17952,This is,a long twenty minutes,twenty long minutes
17953,""" Delighted , "" echoed Dad , and he _ did _ mean it ; he 'd continue to be delighted for",a full twenty minutes,twenty full minutes
17954,"When he left California , it had been",a comfortable eighty degrees,eighty comfortable degrees
17957,"When you encounter a girl , you tend to instantly know — and I mean both of you tend to instantly know — whether you 're going to "" melt "" into each other , whether it will be a long and intense love or just",a hot frantic five hours,five hot frantic hours
17958,Straightforward calculations showed that the well - established 40 hour week could steadily reduce towards,a universal 30 hours,30 universal hours
17959,"The recent growth phase lasted some 23 years , from 1945 to 1968 ; the drift into depression lasted",a further 19 years,19 further years
17960,The price was driven up at the end of 1973 by,a further four times,four further times
17961,"Arms crossed , Carlie now stood over by the door —",a good six feet,six good feet
17962,"With him guarding me , I concentrate on my mark , finding her energy",a mere ten yards,ten mere yards
17963,"For some reason in my alternate world , my lungs can take",a full twenty minutes,twenty full minutes
17965,She 's,a good eight feet,eight good feet
17967,The season had ended with the Coasters picking up,a paltry seventeen wins,seventeen paltry wins
17968,"Way - lo had run up a tab of $ 200.00 two weeks ago , and had been giving him the ' I 'm workin ' on it ' run around for",a good five days,five good days
17970,It took,a good 20 minutes,20 good minutes
17971,It took,a good ten minutes,ten good minutes
17972,He spent,a whole two weeks,two whole weeks
17978,I was cutting it fine timewise and so loped along at,a good four miles,four good miles
17979,"For example , about 6 per cent more of the population in BC had lab tests in 2006 compared to 1997 ; that is","an additional 260,000 people","260,000 additional people"
17980,"The current arrangements are seriously flawed , so simply extending them for",a further five or 10 years,five or 10 further years
17981,"We found that in 2009 - 10 , patients who had elective or planned hip replacement spent on average an extra 1.2 days in hospital , while knee replacement patients stayed",an extra three quarters,three extra quarters
17983,Parts of the disk continued to fall for,a further two minutes,two further minutes
17987,"Feeling generous , he allowed himself",a full thirty seconds,thirty full seconds
17988,After,a good thirty minutes,thirty good minutes
17990,If you swear to give me,a whole twenty minutes,twenty whole minutes
17992,The assault charge on a police officer would have carried,a minimum four years,four minimum years
17994,They had driven,a further ten miles,ten further miles
17995,"Not because I 'm better than the mystical genie , but because I 'd never limit you to",a mere three wishes,three mere wishes
17996,He was,a good four inches,four good inches
17997,""" He was killed in a hunting accident",a mere two days,two mere days
17999,"Also , you were second in the Test of Knowledge , missing the first spot by",a mere two points,two mere points
18000,While,a good two legs,two good legs
18001,In,a mere four years,four mere years
18002,"The Waverunner was weighed down pretty heavily , with",an extra five feet,five extra feet
18003,The bolt landed,a good 40 legs,40 good legs
18004,"Excluding leap years , of course , when it 's",a full two years,two full years
18005,The dragon was,a full four times,four full times
18006,After,an agonizing ten minutes,ten agonizing minutes
18007,A clean but frustrated Hazel emerged from the pool,a short ten minutes,ten short minutes
18008,"She just had to get control of herself and be proactive , the way she was",a mere three days,three mere days
18009,She continued in that fashion until she was,a good fifteen feet,fifteen good feet
18010,We waited for,a full fifteen minutes,fifteen full minutes
18011,"But the Medicis was right , and I was laid up in my cell for",a full three weeks,three full weeks
18012,They were still,a good six feet,six good feet
18013,"It wo n't change your life , but at",a slender 91 minutes,91 slender minutes
18014,In,a mere 241 pages,241 mere pages
18015,After,an awkward 30 seconds,30 awkward seconds
18016,He just watched me bawl my eyes out for,a good five minutes,five good minutes
18017,"When the twins grew up they suffered a serious bone of contention , young Dick could produce",an impressive ten inches,ten impressive inches
18021,""" I was without it",a full five minutes,five full minutes
18025,"Then the fabric fell open , the lid was off the box , and Edith was staring open - mouthed for",a full three seconds,three full seconds
18026,They successfully charged,an extra four bucks,four extra bucks
18029,She had strayed up into the hills after her father 's missing sheep and none had seen her for,a full three days,three full days
18030,After keeping him waiting for,a full thirty seconds,thirty full seconds
18031,Ned had scored,a respectable 35 runs,35 respectable runs
18032,"Despite the audience not seeming to care , Calvin guessed Danny must have been feeling similarly maladroit as he sidled up displacing the balance of the stage and not helping Calvin who still had nothing to do for",a further eight bars,eight further bars
18034,Adriel said we still had,a good six hours,six good hours
18035,"I glanced back to find that same young guy had moved out of the aisle toward the clerk too , but he was greenish looking and I was glad he was",a good four feet,four good feet
18037,Plucking those downy feathers out of her hair cost Emily,an extra three minutes,three extra minutes
18038,People in the office had looked at her with a mixture of pity and curiosity as she 'd left,a full three minutes,three full minutes
18039,"One morning during her customary walk , she became lost in thought and found herself in front of Tea & Toddy",a whole thirty minutes,thirty whole minutes
18040,How are we going to make it,a whole three months,three whole months
18041,"She wanted to be able to rely on this year , to have the structure of",a finite twelve months,twelve finite months
18042,He was assigned to,an extra ten days,ten extra days
18043,The Boyer Nursing Home made,"a meager 373,854.56 dollars","373,854.56 meager dollars"
18044,Ya got,a solid five inches,five solid inches
18045,""" I motion in limine with","a certain 8,063 graves","8,063 certain graves"
18046,We are trucking at,an illegal eighty miles,eighty illegal miles
18047,""" For",a short five days,five short days
18048,The visibility over the ocean surface was,a clear ten miles,ten clear miles
18049,Frank turned and pushed,an angry six feet,six angry feet
18051,"The blade was stiff , but bowed",a good four inches,four good inches
18052,Keisha had been standing there awkwardly for,a full five minutes,five full minutes
18053,"Meanwhile , Mamma Bear , who was",a full three tables,three full tables
18054,The last time they 'd met in homeroom had been,a full three months,three full months
18055,"As his mind raced , Shane continued to walk until he was",a mere fifteen feet,fifteen mere feet
18056,"Gestated for nine months in an artificial womb until birth , and then for",a further thirteen or fourteen or fifteen years,thirteen or fourteen or fifteen further years
18057,The three of them had been sleeping in shifts over,a long three days,three long days
18058,It could only be reached by hiking,a good ten miles,ten good miles
18059,He 'd give Horton,a good ten minutes,ten good minutes
18060,After,a full three minutes,three full minutes
18066,"Battle - tried , the warrior stood over seven feet high ,",a good twelve inches,twelve good inches
18067,He looked,a good fifteen years,fifteen good years
18069,"Here , the 83 - month countdown to 1975 was unmistakeable : "" ... not really",a full 83 months,83 full months
18072,"However , determining the exact year the devastation began is not necessary because proving",a full seventy years,seventy full years
18073,"And that date , was the first day of spring 538 B.C.E. ,",a mere 6 months,6 mere months
18074,"He stood there , staring at her with glowing eyes , and",a good three feet,three good feet
18075,"Both women were the respectful height of five - foot - ten , and in heels they often reached",a towering six feet,six towering feet
18077,Francis and I remained quiet for what must have been,a solid five minutes,five solid minutes
18080,"I am barely 5'4 "" and weigh",an impressive 85 pounds,85 impressive pounds
18088,I 'd just hoped that maybe you 'd be willin ' to take pity on me for stealing,a good ten years,ten good years
18091,The man towered,a good six feet,six good feet
18092,It 's,a good five miles,five good miles
18094,Zeb eyed the gravedigger for,a good thirty seconds,thirty good seconds
18095,Rambler gave,a good three inches,three good inches
18096,For,an eternal thirty seconds,thirty eternal seconds
18097,Zeb waited,a good ten minutes,ten good minutes
18098,"Naturally , I could n't come up with",an extra eight arms,eight extra arms
18099,We halflings need,a good ten hours,ten good hours
18103,"He wanted his bed , and",a solid eight hours,eight solid hours
18105,Many a time we would sit at the table nearest the door – though this table was still,a good twenty feet,twenty good feet
18106,They were,a very good three pages,three very good pages
18107,Doctor Reinhouer was,a mere three meters,three mere meters
18108,"The tiny Roman fleet , consisting of",a mere nine warships,nine mere warships
18109,He really did not want to hang out at the camp for,a full two weeks,two full weeks
18110,He was parked in front of your building for,a good 45 minutes,45 good minutes
18112,"I took a few steps into the room , but stopped",a full fifteen feet,fifteen full feet
18113,"When I was done , there was silence on the other end for",a good 15 seconds,15 good seconds
18115,"And that 's been a really humbling thing to recognise about myself , which my facade has wanted to hold on to for",a good 30 years,30 good years
18116,So that 's been happening for,a good 15 years,15 good years
18118,The siRNA screen also identified,an additional 12 TSGs,12 additional TSGs
18120,"Strikingly , complete tumor responses in the combination group persisted through",an additional 35 days,35 additional days
18121,( c ) During,an average 10.26 years,10.26 average years
18122,"After he left , Josh did the dishes , waited",an extra ten minutes,ten extra minutes
18123,Re - cover and cook for,a further 20 minutes,20 further minutes
18124,Will was silent for,a good ten seconds,ten good seconds
18125,"She swatted it away , then covered her face with her palms for",a good ten seconds,ten good seconds
18128,Kira held Aria in her arms for,a good ten seconds,ten good seconds
18136,It was,a good fifty feet,fifty good feet
18138,It was,a tense ten minutes,ten tense minutes
18139,"It was only when Oscar woke the next day , after",a full sixteen hours,sixteen full hours
18140,"He surpassed her five feet , three inches by",a good seven inches,seven good inches
18141,Her heart stopped beating for,a slow two seconds,two slow seconds
18142,Had been back stronger than ever for,a good eight months,eight good months
18143,There was one condition however ; we were required upon returning to Belgium to do,an additional three months,three additional months
18146,"I suppose if I 'd gone through the training they would have covered this , but I 'm pretty sure I do n't need",an additional three years,three additional years
18147,Lacey is walking,a good five paces,five good paces
18149,"Still , it hardly seemed like sacrificing the first officer was worth",a measly three turrets,three measly turrets
18150,"She was a splendid specimen of womanhood , standing",a good two inches,two good inches
18154,She stood taller than Melody by,a good three or four inches,three or four good inches
18155,He dialed while Kurt drove onto the shoulder to pass an out of town driver who was driving,a mere five miles,five mere miles
